judul,imdb_rating,metascore,votes
Star Wars: Episode IX - The Rise of Skywalker,6.7,53        ,319297
The Mandalorian,8.7,,167069
After Life,8.5,,67073
Dead to Me,8.1,,37166
Once Upon a Time... in Hollywood,7.7,,462415
The Gentlemen,7.9,51        ,130261
Parasite,8.6,,402004
Bad Education,7.2,,12193
The Lodge,6.1,,12026
The Platform,7.0,,117759
Knives Out,7.9,,298669
1917,8.3,,305645
Avengers: Endgame,8.4,,714689
Joker,8.5,59        ,784001
Reckoning,6.6,,538
What We Do in the Shadows,8.4,,22349
The Witcher,8.3,,252485
Jojo Rabbit,7.9,58        ,210929
Chernobyl,9.4,,460185
The Boys,8.7,,143696
Midsommar,7.1,,151164
Little Women,7.9,,102344
Hustlers,6.3,,67397
NOS4A2,6.7,,5429
The Wretched,5.8,,1934
Sex Education,8.3,,131679
Code 8,6.1,48        ,25712
Jumanji: The Next Level,6.7,58        ,143763
The Assistant,5.9,,3490
Uncut Gems,7.5,,161551
The Lighthouse,7.6,,101431
Batwoman,3.5,,25603
Harley Quinn,8.4,,6653
Ford v Ferrari,8.1,,212924
The Irishman,7.9,,287668
Brassic,8.2,,2557
The Morning Show,8.4,,33767
6 Underground,6.1,41        ,119873
It Chapter Two,6.6,58        ,175790
The Lion King,6.9,55        ,189796
Bombshell,6.8,,58043
Hanna,7.5,,17941
Portrait of a Lady on Fire,8.2,,36680
Ramy,8.0,,4877
Euphoria,8.3,,40513
Frozen II,6.9,,107666
Doctor Sleep,7.4,59        ,101482
Spider-Man: Far from Home,7.5,,288843
Angel Has Fallen,6.4,45        ,65961
Aladdin,7.0,53        ,204770
